"","No_of_Accidents","ev_year","acft_make","acft_model"
"1",1,1948,"STINSON","108"
"2",1,1962,"PIPER","PA24"
"3",1,1974,"CESSNA","172M"
"4",1,1977,"ROCKWELL","112"
"5",1,1979,"CESSNA","501"
"6",1,1979,"MCDONNELLDOUGLAS","DC9"
"7",1,1981,"CESSNA","180"
"8",4,1982,"AEROCOMMANDER","100"
"9",1,1982,"AEROCOMMANDER","112"
"10",1,1982,"AEROCOMMANDER","112TC"
"11",1,1982,"AEROCOMMANDER","500S"
"12",1,1982,"AEROCOMMANDER","520"
"13",1,1982,"AEROCOMMANDER","560E"
"14",1,1982,"AEROCOMMANDER","680"
"15",1,1982,"AEROCOMMANDER","680F"
"16",1,1982,"AEROCOMMANDER","680FL"
"17",1,1982,"AEROCOMMANDER","680W"
"18",1,1982,"AEROCOMMANDER","681"
"19",3,1982,"AEROCOMMANDER","S2R"
"20",3,1982,"AERONCA","11AC"
"21",1,1982,"AERONCA","11BC"
"22",1,1982,"AERONCA","11CC"
"23",2,1982,"AERONCA","65"
"24",13,1982,"AERONCA","7AC"
"25",1,1982,"AERONCA","7BCM"
"26",3,1982,"AERONCA","7EC"
"27",1,1982,"AERONCA","7GC"
"28",1,1982,"AERONCA","AR"
"29",1,1982,"AERONCA","C"
"30",1,1982,"AERONCACHAMP","7EC"
"31",1,1982,"AERONCACHAMPION","7AC"
"32",1,1982,"AEROSPORT","CHAMP"
"33",1,1982,"AEROTEK-PITTS","S"
"34",4,1982,"AIRTRACTOR","301"
"35",1,1982,"AIRTRACTOR","301A"
"36",13,1982,"AIRTRACTOR","AT"
"37",1,1982,"ALON","A2"
"38",1,1982,"AMATEURBUILT","QUICKIE"
"39",3,1982,"AMERICAN","AA"
"40",1,1982,"AMERICAN","AA5B"
"41",2,1982,"AMERICANAVIATION","AA"
"42",1,1982,"AMERICANAVIATION","AA1"
"43",1,1982,"AMERICANYANKEE","AA"
"44",1,1982,"ARCTIC","S1B2"
"45",1,1982,"ARCTICAIRCRAFT","S1B2"
"46",1,1982,"AUSTER","A.O.P.6"
"47",1,1982,"AUSTIN","S.E."
"48",1,1982,"AVRESCORP.","S"
"49",2,1982,"AYRES","S"
"50",2,1982,"AYRES","S2R"
"51",1,1982,"BEACHNER","QUICK"
"52",1,1982,"BEAGLEAIRCRAFT","206"
"53",2,1982,"BEDEAIRCRAFT","BD"
"54",1,1982,"BEECH","19"
"55",2,1982,"BEECH","200"
"56",4,1982,"BEECH","23"
"57",12,1982,"BEECH","35"
"58",2,1982,"BEECH","36"
"59",1,1982,"BEECH","50"
"60",4,1982,"BEECH","56TC"
"61",11,1982,"BEECH","58"
"62",3,1982,"BEECH","58P"
"63",1,1982,"BEECH","58TC"
"64",3,1982,"BEECH","60"
"65",5,1982,"BEECH","65"
"66",1,1982,"BEECH","76"
"67",5,1982,"BEECH","77"
"68",3,1982,"BEECH","90"
"69",20,1982,"BEECH","95"
"70",1,1982,"BEECH","99"
"71",1,1982,"BEECH","A"
"72",11,1982,"BEECH","A23"
"73",2,1982,"BEECH","A23A"
"74",3,1982,"BEECH","A24R"
"75",2,1982,"BEECH","A35"
"76",11,1982,"BEECH","A36"
"77",4,1982,"BEECH","A36TC"
"78",1,1982,"BEECH","A60"
"79",4,1982,"BEECH","B"
"80",5,1982,"BEECH","B19"
"81",3,1982,"BEECH","B23"
"82",2,1982,"BEECH","B24R"
"83",5,1982,"BEECH","B35"
"84",1,1982,"BEECH","B58"
"85",2,1982,"BEECH","B90"
"86",2,1982,"BEECH","B95"
"87",1,1982,"BEECH","B99A"
"88",4,1982,"BEECH","BE"
"89",9,1982,"BEECH","C"
"90",22,1982,"BEECH","C23"
"91",6,1982,"BEECH","C24R"
"92",1,1982,"BEECH","C33"
"93",3,1982,"BEECH","C35"
"94",1,1982,"BEECH","C45G"
"95",1,1982,"BEECH","C45H"
"96",3,1982,"BEECH","D18S"
"97",1,1982,"BEECH","D55"
"98",1,1982,"BEECH","D95A"
"99",2,1982,"BEECH","E"
"100",1,1982,"BEECH","E17L"
"101",5,1982,"BEECH","E18S"
"102",2,1982,"BEECH","E33"
"103",2,1982,"BEECH","E55"
"104",1,1982,"BEECH","F17D"
"105",3,1982,"BEECH","F33A"
"106",3,1982,"BEECH","F35"
"107",1,1982,"BEECH","F50"
"108",2,1982,"BEECH","G18S"
"109",4,1982,"BEECH","G35"
"110",1,1982,"BEECH","H"
"111",4,1982,"BEECH","H35"
"112",4,1982,"BEECH","J35"
"113",1,1982,"BEECH","K35"
"114",3,1982,"BEECH","M35"
"115",2,1982,"BEECH","P35"
"116",1,1982,"BEECH","S"
"117",2,1982,"BEECH","S35"
"118",1,1982,"BEECH","T"
"119",2,1982,"BEECH","V35"
"120",2,1982,"BEECH","V35A"
"121",8,1982,"BEECH","V35B"
"122",1,1982,"BEECHCRAFT","B"
"123",1,1982,"BEECHCRAFT","BE"
"124",1,1982,"BEECHCRAFT","C"
"125",1,1982,"BEECHCRAFT","K35"
"126",1,1982,"BEECHCRAFT","S35"
"127",3,1982,"BELLANCA","14"
"128",10,1982,"BELLANCA","17"
"129",1,1982,"BELLANCA","300A"
"130",1,1982,"BELLANCA","73CA"
"131",12,1982,"BELLANCA","7ECA"
"132",1,1982,"BELLANCA","7GCAA"
"133",12,1982,"BELLANCA","7GCBC"
"134",6,1982,"BELLANCA","7KCAB"
"135",6,1982,"BELLANCA","8GCBC"
"136",9,1982,"BELLANCA","8KCAB"
"137",1,1982,"BELLANCE","7GCBC"
"138",1,1982,"BELLANGA","7GCBC"
"139",1,1982,"BENNET","VP"
"140",3,1982,"BOEING","707"
"141",3,1982,"BOEING","727"
"142",3,1982,"BOEING","737"
"143",1,1982,"BOEING","75A"
"144",5,1982,"BOEING","A75"
"145",1,1982,"BOEING","A75L300"
"146",8,1982,"BOEING","A75N1"
"147",1,1982,"BOEING","B"
"148",1,1982,"BOEING","B75N1"
"149",4,1982,"BOEING","E75"
"150",1,1982,"BOEING","E75N1"
"151",1,1982,"BOEING","KC"
"152",1,1982,"BOEING","N2S"
"153",1,1982,"BOEING","PT"
"154",1,1982,"BOEINGSTEARMAN","A75"
"155",1,1982,"BOWERSFLYBABY","1A"
"156",1,1982,"BREEZY","RL4"
"157",1,1982,"BREEZY","RLU"
"158",1,1982,"BREEZY","RLU1"
"159",1,1982,"BRITTEN-NORMAN","BN"
"160",1,1982,"BUCKERJUNGMANN","BU"
"161",1,1982,"BURKE-PARKER","QUICKIE"
"162",1,1982,"C.EFF","VARI"
"163",5,1982,"CALLAIR","A"
"164",1,1982,"CANADAIR","CL"
"165",1,1982,"CASSUTT","111M"
"166",1,1982,"CASSUTT","CASSUTT"
"167",1,1982,"CASSUTT","MARK"
"168",6,1982,"CESSNA","120"
"169",17,1982,"CESSNA","140"
"170",2,1982,"CESSNA","140A"
"171",78,1982,"CESSNA","150"
"172",1,1982,"CESSNA","150A"
"173",2,1982,"CESSNA","150B"
"174",1,1982,"CESSNA","150C"
"175",2,1982,"CESSNA","150D"
"176",8,1982,"CESSNA","150F"
"177",11,1982,"CESSNA","150G"
"178",11,1982,"CESSNA","150H"
"179",9,1982,"CESSNA","150J"
"180",2,1982,"CESSNA","150K"
"181",24,1982,"CESSNA","150L"
"182",32,1982,"CESSNA","150M"
"183",132,1982,"CESSNA","152"
"184",1,1982,"CESSNA","152(II)"
