"","ev_id","ev_year","ev_month","ev_country","ev_state","ev_state_code","ev_city","latitude","longitude"
"1","20120530X25031",2012,5,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"2","20141021X42241",2014,10,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"3","20110316X11524",2011,3,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"4","20170314X80958",2017,3,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"5","20120203X61713",2012,2,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"6","20150629X10505",2015,6,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"7","20160914X32900",2016,9,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"8","20060621X00785",2006,5,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"9","20161024X44236",2016,10,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"10","20080812X01229",2008,6,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"11","20030422X00543",2003,4,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"12","20140702X22950",2014,7,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"13","20060817X01198",2006,7,"USA","ALASKA                        ","AK","Anchorage",61.216799,-149.87828
"14","20030806X01276",2003,7,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"15","20030610X00839",2003,6,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"16","20031216X02042",2003,12,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"17","20171022X15558",2017,10,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"18","20070919X01417",2007,9,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"19","20060123X00115",2006,1,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"20","20020114X00069",2001,12,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"21","20021030X05407",2002,10,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"22","20080812X01230",2008,6,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"23","20060621X00790",2006,5,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"24","20050512X00604",2005,4,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"25","20020529X00760",2002,5,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
"26","20090825X90626",2009,8,"USA","ALASKA                        ","AK","Anchorage",61.153693,-149.95932
