"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"1","20080109X00036",2008,1,"Environmental issues","Conditions/weather/phenomena","Wind","Crosswind","Not specified "
"2","20080109X00036",2008,1,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"3","20080116X00063",2008,1,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Airspeed","Not attained/maintained "
"4","20080116X00063",2008,1,"Aircraft","Aircraft structures","Doors","Cargo/baggage doors","Incorrect service/maintenance "
"5","20080116X00063",2008,1,"Personnel issues","Task performance","Maintenance","Repair","Maintenance personnel "
"6","20080116X00063",2008,1,"Organizational issues","Support/oversight/monitoring","Training","Emergency proc training","Manufacturer "
"7","20080116X00063",2008,1,"Organizational issues","Management","Policy/procedure","Availability of policy/proc","Manufacturer "
"8","20080117X00067",2008,1,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Altitude","Not attained/maintained "
"9","20080117X00067",2008,1,"Personnel issues","Psychological","Perception/orientation/illusio","Spatial disorientation","Pilot "
"10","20080117X00067",2008,1,"Environmental issues","Conditions/weather/phenomena","Light condition","Dark","Effect on personnel "
"11","20080117X00067",2008,1,"Environmental issues","Task environment","Pressures/demands","Equipment/operational","Effect on personnel "
"12","20080118X00073",2008,1,"Personnel issues","Task performance","Communication (personnel)","Lack of communication","ATC personnel "
"13","20080118X00073",2008,1,"Organizational issues","Management","Policy/procedure","Adequacy of policy/proc","Not specified "
"14","20080118X00073",2008,1,"Organizational issues","Management","Policy/procedure","Adequacy of policy/proc","Not specified "
"15","20080118X00073",2008,1,"Environmental issues","Physical environment","Object/animal/substance","Aircraft","Awareness of condition "
"16","20080118X00073",2008,1,"Personnel issues","Task performance","Communication (personnel)","Lack of communication","ATC personnel "
"17","20080118X00073",2008,1,"Organizational issues","Management","Policy/procedure","Adequacy of policy/proc","Not specified "
"18","20080118X00073",2008,1,"Personnel issues","Action/decision","Info processing/decision","Identification/recognition","Maintenance personnel "
"19","20080118X00073",2008,1,"Personnel issues","Action/decision","Action","Incomplete action","Ground crew "
"20","20080118X00073",2008,1,"Environmental issues","Conditions/weather/phenomena","Light condition","Dark","Not specified "
"21","20080118X00073",2008,1,"Personnel issues","Task performance","Communication (personnel)","Lack of communication","ATC personnel "
"22","20080118X00073",2008,1,"Personnel issues","Action/decision","Info processing/decision","Identification/recognition","Maintenance personnel "
"23","20080118X00073",2008,1,"Environmental issues","Physical environment","Object/animal/substance","Aircraft","Awareness of condition "
"24","20080118X00073",2008,1,"Personnel issues","Action/decision","Info processing/decision","Identification/recognition","Maintenance personnel "
"25","20080118X00073",2008,1,"Personnel issues","Action/decision","Action","Incomplete action","Ground crew "
"26","20080118X00073",2008,1,"Environmental issues","Conditions/weather/phenomena","Light condition","Dark","Not specified "
